feature,hr,ci_lower,ci_upper,z,p,n,events,q
inter_H03_H04,0.8985755361682443,0.7396929005660089,1.0915854317138918,-1.077253806330675,0.2813668931804947,200,112,0.9973126457678482
inter_H04_H03,0.8985755361682443,0.7396929005660089,1.0915854317138918,-1.077253806330675,0.2813668931804947,200,112,0.9973126457678482
inter_H02_H02,0.8992285362283952,0.7403329020798117,1.0922275075116,-1.0706979783932153,0.28430525208249924,200,112,0.9973126457678482
disp_H03_pair_correlation,1.1125895629309217,0.9122575396485955,1.356914557285704,1.0533229781285696,0.2921929911285106,200,112,0.9973126457678482
inter_H04_H08,1.0926204353448692,0.9209472699106177,1.2962950808780587,1.0156790250213563,0.30978225945004473,200,112,0.9973126457678482
inter_H08_H04,1.0926204353448692,0.9209472699106177,1.2962950808780587,1.0156790250213563,0.30978225945004473,200,112,0.9973126457678482
inter_H09_H05,1.0977750094002678,0.9106980281993851,1.3232816300771826,0.9786260897630089,0.3277647633852784,200,112,0.9973126457678482
inter_H05_H09,1.0977750094002678,0.9106980281993851,1.3232816300771826,0.9786260897630089,0.3277647633852784,200,112,0.9973126457678482
dist_H08_H09,0.9092672423997942,0.750271396410309,1.101957134520937,-0.9699295867114419,0.3320815912028847,200,112,0.9973126457678482
inter_H07_H10,0.8989792866936415,0.7232274508604166,1.1174406570750928,-0.9595041956402807,0.3373048070410168,200,112,0.9973126457678482
inter_H10_H07,0.8989792866936415,0.7232274508604166,1.1174406570750928,-0.9595041956402807,0.3373048070410168,200,112,0.9973126457678482
dist_H02_H07,1.0895414331312918,0.9126566568925307,1.3007087885072812,0.9487899214390144,0.34272746885251393,200,112,0.9973126457678482
disp_H03_ripley_l,1.095094941314274,0.9072507798383396,1.3218317990377493,0.9461560120701535,0.34406901836831405,200,112,0.9973126457678482
inter_H09_H08,1.0897161157414508,0.9077809250774812,1.3081143039057366,0.9218546459622932,0.3566043989959168,200,112,0.9973126457678482
inter_H08_H09,1.0897161157414508,0.9077809250774812,1.3081143039057366,0.9218546459622932,0.3566043989959168,200,112,0.9973126457678482
inter_H10_H01,1.0940657413448969,0.901608995935243,1.3276041518895074,0.9107233418655969,0.36244116213933364,200,112,0.9973126457678482
inter_H01_H10,1.0940657413448969,0.901608995935243,1.3276041518895074,0.9107233418655969,0.36244116213933364,200,112,0.9973126457678482
disp_H07_pair_correlation,0.9167005468809091,0.759526966846,1.1063990211451482,-0.9063279626935672,0.3647622892176081,200,112,0.9973126457678482
dist_H03_H05,0.9162190818484599,0.7567170252276806,1.10934124376369,-0.8966375486086476,0.36991235502761666,200,112,0.9973126457678482
disp_H09_clark_evans,0.9187518336323337,0.761499438166275,1.1084774190187432,-0.8847218970737897,0.37630664263976654,200,112,0.9973126457678482
inter_H06_H08,1.0835533531165462,0.9057707002480376,1.2962307885744113,0.8775992559318914,0.38016123322397344,200,112,0.9973126457678482
inter_H08_H06,1.0835533531165462,0.9057707002480376,1.2962307885744113,0.8775992559318914,0.38016123322397344,200,112,0.9973126457678482
inter_H03_H05,1.0860175970530297,0.9013174737817872,1.308566909459899,0.8675860298488965,0.38562099696436847,200,112,0.9973126457678482
inter_H05_H03,1.0860175970530297,0.9013174737817872,1.308566909459899,0.8675860298488965,0.38562099696436847,200,112,0.9973126457678482
dist_H01_H03,1.0829299249211666,0.8996593004420994,1.3035348178065536,0.842194838604763,0.39967890239754833,200,112,0.9973126457678482
disp_H02_clark_evans,0.9297535436568901,0.7833064353211016,1.1035804290158593,-0.8329003005603465,0.40490096014006083,200,112,0.9973126457678482
comp_H10,0.9217170100977924,0.759697248349425,1.1182905408035062,-0.8264633539155419,0.4085412978191745,200,112,0.9973126457678482
disp_H01_f_function,0.9170834251779593,0.7467841721538799,1.1262183105868442,-0.8258516176405535,0.4088882690308966,200,112,0.9973126457678482
inter_H07_H01,1.0817308351556985,0.8972542046576414,1.3041361006194752,0.8235143952820284,0.4102155344397129,200,112,0.9973126457678482
inter_H01_H07,1.0817308351556985,0.8972542046576414,1.3041361006194752,0.8235143952820284,0.4102155344397129,200,112,0.9973126457678482
inter_H08_H03,1.0796834766238235,0.8983724073043902,1.2975870587925724,0.8173824067598865,0.4137099265702049,200,112,0.9973126457678482
inter_H03_H08,1.0796834766238235,0.8983724073043902,1.2975870587925724,0.8173824067598865,0.4137099265702049,200,112,0.9973126457678482
dist_H07_H08,0.9240786360124904,0.762099331168425,1.1204855989382663,-0.8030034775929569,0.42197272454742085,200,112,0.9973126457678482
disp_H03_ripley_k,1.0822647887404744,0.8918994143537161,1.3132613993206885,0.8009326623780986,0.4231706299626037,200,112,0.9973126457678482
dist_H05_H06,1.0752270365835934,0.9000814702359831,1.2844539282618792,0.7995406110103107,0.4239770082917077,200,112,0.9973126457678482
disp_H04_clark_evans,0.9266274794133799,0.7679689431216264,1.1180640744582917,-0.7952851596795321,0.4264476441371985,200,112,0.9973126457678482
disp_H06_quadrat_dispersion,0.927117624192275,0.7687232885534704,1.1181488864547915,-0.7916757243524762,0.4285497805801798,200,112,0.9973126457678482
